============================================================
Time  2026/03/11 20:05:26 791 
============================================================
[2026/03/11 20:05:26 803] isr        1659 isr loaded!  
[2026/03/11 20:05:26 826] isr        1642 SYS_MSG_REGCB param0 =   msp_status_cb  param1 =   func(b802d6f0) 
[2026/03/11 20:05:26 880] isr        1537 ASR_MSG_SSB  
[2026/03/11 20:05:26 890] isr        1066 session_begin() [in], params:   sub = iat, domain = iat, language = zh_cn, accent = mandarin, sample_rate = 16000, result_type = plain, result_encoding = utf8  nil  
[2026/03/11 20:05:26 900] isr        927  vad_set [in]  
[2026/03/11 20:05:44 104] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:44 135] isr        1559 6400  2  
[2026/03/11 20:05:44 358] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:44 424] isr        1559 6400  2  
[2026/03/11 20:05:44 590] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:44 607] isr        1559 6400  2  
[2026/03/11 20:05:44 771] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:44 833] isr        1559 6400  2  
[2026/03/11 20:05:45 008] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:45 013] isr        1559 6400  2  
[2026/03/11 20:05:45 661] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:45 688] isr        1559 6400  2  
[2026/03/11 20:05:45 849] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:45 872] isr        1559 6400  2  
[2026/03/11 20:05:45 933] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:45 967] isr        1559 6400  2  
[2026/03/11 20:05:46 218] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:46 292] isr        1559 6400  2  
[2026/03/11 20:05:46 507] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:46 518] isr        1559 6400  2  
[2026/03/11 20:05:46 633] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:46 652] isr        1559 6400  2  
[2026/03/11 20:05:47 093] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:47 185] isr        1559 6400  2  
[2026/03/11 20:05:47 302] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:47 323] isr        1559 6400  2  
[2026/03/11 20:05:47 487] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:47 525] isr        1559 6400  2  
[2026/03/11 20:05:47 732] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:47 780] isr        1559 6400  2  
[2026/03/11 20:05:47 945] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:47 954] isr        1559 6400  2  
[2026/03/11 20:05:48 096] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:48 165] isr        1559 6400  2  
[2026/03/11 20:05:48 404] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:48 428] isr        1559 6400  2  
[2026/03/11 20:05:48 547] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:48 578] isr        1559 6400  2  
[2026/03/11 20:05:49 285] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:49 358] isr        1559 6400  2  
[2026/03/11 20:05:49 464] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:49 475] isr        1559 6400  2  
[2026/03/11 20:05:49 627] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:49 638] isr        1559 6400  2  
[2026/03/11 20:05:49 822] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:50 024] isr        1559 6400  2  
[2026/03/11 20:05:50 232] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:50 240] isr        1559 6400  2  
[2026/03/11 20:05:50 413] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:50 457] isr        1559 6400  2  
[2026/03/11 20:05:50 752] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:50 764] isr        1559 6400  2  
[2026/03/11 20:05:50 926] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:51 031] isr        1559 6400  2  
[2026/03/11 20:05:51 160] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:51 201] isr        1559 6400  2  
[2026/03/11 20:05:51 281] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:51 299] isr        1559 6400  2  
[2026/03/11 20:05:51 514] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:51 556] isr        1559 6400  2  
[2026/03/11 20:05:51 716] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:51 736] isr        1559 6400  2  
[2026/03/11 20:05:51 920] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:51 927] isr        1559 6400  2  
[2026/03/11 20:05:52 069] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:52 111] isr        1559 6400  2  
[2026/03/11 20:05:52 296] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:52 334] isr        1559 6400  2  
[2026/03/11 20:05:52 515] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:52 557] isr        1559 6400  2  
[2026/03/11 20:05:52 827] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:52 868] isr        1559 6400  2  
[2026/03/11 20:05:53 299] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:53 364] isr        1559 6400  2  
[2026/03/11 20:05:53 663] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:53 735] isr        1559 6400  2  
[2026/03/11 20:05:54 011] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:54 056] isr        1559 6400  2  
[2026/03/11 20:05:54 134] isr        700  cloud_status_cb, eps:  1  
[2026/03/11 20:05:54 144] isr        798  1  cloud  
[2026/03/11 20:05:54 156] isr        813  cloud eps ignored  
[2026/03/11 20:05:54 278] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:55 021] isr        1559 6400  2  
[2026/03/11 20:05:55 197] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:55 229] isr        1559 6400  2  
[2026/03/11 20:05:55 371] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:55 400] isr        1559 6400  2  
[2026/03/11 20:05:55 586] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:55 609] isr        1559 6400  2  
[2026/03/11 20:05:55 848] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:55 880] isr        1559 6400  2  
[2026/03/11 20:05:56 009] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:56 031] isr        1559 6400  2  
[2026/03/11 20:05:56 117] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:56 148] isr        1559 6400  2  
[2026/03/11 20:05:56 325] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:56 348] isr        1559 6400  2  
[2026/03/11 20:05:56 403] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:56 442] isr        1559 6400  2  
[2026/03/11 20:05:56 781] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:56 811] isr        1559 6400  2  
[2026/03/11 20:05:57 022] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:57 078] isr        1559 6400  2  
[2026/03/11 20:05:57 130] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:57 160] isr        1559 6400  2  
[2026/03/11 20:05:57 474] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:57 517] isr        1559 6400  2  
[2026/03/11 20:05:57 720] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:57 736] isr        1559 6400  2  
[2026/03/11 20:05:57 857] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:57 975] isr        1559 6400  2  
[2026/03/11 20:05:58 067] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:58 100] isr        1559 6400  2  
[2026/03/11 20:05:59 400] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:59 489] isr        1559 6400  2  
[2026/03/11 20:05:59 608] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:59 630] isr        1559 6400  2  
[2026/03/11 20:05:59 823] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:59 848] isr        1559 6400  2  
[2026/03/11 20:06:00 058] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:06:00 060] isr        1559 6400  2  
[2026/03/11 20:06:00 281] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:06:00 294] isr        1559 6400  2  
[2026/03/11 20:06:00 701] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:06:00 711] isr        1559 6400  2  
[2026/03/11 20:06:00 871] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:06:00 894] isr        1559 6400  2  
[2026/03/11 20:06:01 087] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:06:01 109] isr        1559 11348  2  
[2026/03/11 20:06:01 282] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:06:01 289] isr        1559 0  4  
[2026/03/11 20:06:01 297] isr        1592 aud end, USER  
[2026/03/11 20:06:02 001] isr        854  [aud] speech end  
[2026/03/11 20:06:02 090] isr        798  3  msc  
[2026/03/11 20:06:02 183] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:02 199] isr        1335 0  nil  2  
[2026/03/11 20:06:02 468] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:02 544] isr        1335 0  nil  2  
[2026/03/11 20:06:02 755] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:02 766] isr        1335 0  nil  2  
[2026/03/11 20:06:02 946] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:02 964] isr        1335 0  nil  2  
[2026/03/11 20:06:03 172] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:03 183] isr        1335 0  nil  2  
[2026/03/11 20:06:03 443] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:03 457] isr        1335 0  nil  2  
[2026/03/11 20:06:03 645] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:03 665] isr        1335 0  nil  2  
[2026/03/11 20:06:04 040] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:04 109] isr        1335 0  nil  2  
[2026/03/11 20:06:04 320] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:04 368] isr        1335 0  nil  2  
[2026/03/11 20:06:04 568] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:04 577] isr        1335 0  nil  2  
[2026/03/11 20:06:05 173] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:05 272] isr        1335 0  nil  2  
[2026/03/11 20:06:05 466] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:05 475] isr        1335 0  nil  2  
[2026/03/11 20:06:05 663] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:05 676] isr        1335 0  nil  2  
[2026/03/11 20:06:05 900] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:05 921] isr        1335 0  nil  2  
[2026/03/11 20:06:06 145] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:06 152] isr        1335 0  nil  2  
[2026/03/11 20:06:06 689] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:06 770] isr        1335 0  nil  2  
[2026/03/11 20:06:06 972] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:07 041] isr        1335 0  nil  2  
[2026/03/11 20:06:07 248] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:07 266] isr        1335 0  nil  2  
[2026/03/11 20:06:07 656] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:07 733] isr        1335 0  nil  2  
[2026/03/11 20:06:07 941] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:08 000] isr        1335 0  nil  2  
[2026/03/11 20:06:08 249] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:08 260] isr        1335 0  nil  2  
[2026/03/11 20:06:08 456] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:08 467] isr        1335 0  nil  2  
[2026/03/11 20:06:08 658] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:08 676] isr        1335 0  nil  2  
[2026/03/11 20:06:08 869] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:08 882] isr        1335 0  nil  2  
[2026/03/11 20:06:09 080] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:09 091] isr        1335 0  nil  2  
[2026/03/11 20:06:09 974] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:10 049] isr        1335 0  nil  2  
[2026/03/11 20:06:10 256] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:10 268] isr        1335 0  nil  2  
[2026/03/11 20:06:10 480] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:10 528] isr        1335 0  nil  2  
[2026/03/11 20:06:10 747] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:10 757] isr        1335 0  nil  2  
[2026/03/11 20:06:11 288] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:11 368] isr        1335 0  nil  2  
[2026/03/11 20:06:11 573] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:11 584] isr        1335 0  nil  2  
[2026/03/11 20:06:11 809] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:11 830] isr        1335 0  nil  2  
[2026/03/11 20:06:12 029] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:12 042] isr        1335 0  nil  2  
[2026/03/11 20:06:12 242] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:12 279] isr        1335 0  nil  2  
[2026/03/11 20:06:12 486] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:12 521] isr        1335 0  nil  2  
[2026/03/11 20:06:12 744] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:12 760] isr        1335 0  nil  2  
[2026/03/11 20:06:12 954] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:12 958] isr        1335 0  nil  2  
[2026/03/11 20:06:13 160] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:13 164] isr        1335 0  nil  2  
[2026/03/11 20:06:13 363] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:13 371] isr        1335 0  nil  2  
[2026/03/11 20:06:14 429] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:14 502] isr        1335 0  nil  2  
[2026/03/11 20:06:14 708] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:14 717] isr        1335 0  nil  2  
[2026/03/11 20:06:14 911] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:14 944] isr        1335 0  nil  2  
[2026/03/11 20:06:15 175] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:15 248] isr        1335 0  nil  2  
[2026/03/11 20:06:15 446] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:15 514] isr        1335 0  nil  2  
[2026/03/11 20:06:15 721] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:15 740] isr        1335 0  nil  2  
[2026/03/11 20:06:15 965] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:16 028] isr        1335 0  nil  2  
[2026/03/11 20:06:16 238] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:16 269] isr        1335 0  nil  2  
[2026/03/11 20:06:16 472] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:16 486] isr        1335 0  nil  2  
[2026/03/11 20:06:16 635] isr        1746 !!! timeout without result  
[2026/03/11 20:06:16 700] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:16 716] isr        1335 0  nil  2  
[2026/03/11 20:06:17 849] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:17 942] isr        1335 0  nil  2  
[2026/03/11 20:06:18 142] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:18 163] isr        1335 0  nil  2  
[2026/03/11 20:06:18 376] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:18 387] isr        1335 0  nil  2  
[2026/03/11 20:06:18 927] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:19 057] isr        1335 0  nil  2  
[2026/03/11 20:06:19 253] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:19 264] isr        1335 0  nil  2  
[2026/03/11 20:06:19 620] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:19 682] isr        1335 0  nil  2  
[2026/03/11 20:06:19 892] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:19 906] isr        1335 0  nil  2  
[2026/03/11 20:06:20 116] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:20 142] isr        1335 0  nil  2  
[2026/03/11 20:06:20 351] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:20 358] isr        1335 0  nil  2  
[2026/03/11 20:06:20 554] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:20 563] isr        1335 0  nil  2  
[2026/03/11 20:06:20 761] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:20 782] isr        1335 0  nil  2  
[2026/03/11 20:06:20 996] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:21 014] isr        1335 0  nil  2  
[2026/03/11 20:06:21 728] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:21 796] isr        1335 0  nil  2  
[2026/03/11 20:06:22 002] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:22 011] isr        1335 0  nil  2  
[2026/03/11 20:06:22 367] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:22 446] isr        1335 0  nil  2  
[2026/03/11 20:06:22 654] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:22 660] isr        1335 0  nil  2  
[2026/03/11 20:06:22 942] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:23 035] isr        1335 0  nil  2  
[2026/03/11 20:06:23 231] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:23 247] isr        1335 0  nil  2  
[2026/03/11 20:06:23 476] isr        1636 ASR_MSG_GRSLT,   cloud  
[2026/03/11 20:06:23 670] isr        1335 0  nil  2  
